Welcome. You play Fugitive in Game 5000:3. You start on square 42. Make a move, and wait for feedback
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 14
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 56
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 56
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 62
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 30
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 25
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 25
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 11
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 38
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 52
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 16
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 16
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 21
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 13
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 9
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 16
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 22
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 50
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 50
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 10
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 46
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 46
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 40
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 40
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 40
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 24
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 25
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 16
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 43
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 16
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 16
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 21
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 61
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 56
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 21
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 53
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 45
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 36
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 36
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 38
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 20
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 20
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 28
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 12
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 40
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 19
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 33
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 24
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 0
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 54
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 54
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 54
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 54
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 54
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 54
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 54
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 54
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 61
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 56
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 56
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 56
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 56
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 28
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 12
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 12
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 9
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 2
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 16
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 32
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 32
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 24
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 10
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 1
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 3
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 30
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 21
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 3
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 43
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 41
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 34
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 48
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 20
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 36
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 28
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 24
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 56
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 60
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 63
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 36
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 27
Move 0; Fugitive; Play; Detectives on -1, -1, -1, -1, -1; Fugitive on 26
